ulasan,sentimen
Enggak tau hehe :D,1
Berharap melakukan kuliah offline untuk semester depan bila ketemu bu Anita lagi agar lebih paham dengan materi yang diberikan,1
Masuk kelas agar tidak jamkos terus,0
Cukup baik dalam penyampaian materi,2
Pa Aryanto cukup jelas memberikan pembahasan.,2
Saran saya jika memberi materi kalimatnya agar dipermudah agar lebih mudah dipahami,0
Minal aidzin bu anita,2
Semangat terus bu,2
Semoga lebih baik lagi buu,2
saran bu agar diberi materi sebelum perkuliahan, jadi kalau ada kuis ga terlalu tergesa² memahami materinya. terimakasih,0
saran pak untuk tugas jangan sering² video ya pak😅,1
Jika movie time mohon agar film yang ditayangkan film yang populer,1
Semoga lebih baik lagi,2
Pak kurangin bikin tugas video ya pak, trimakasih,1
sudah baik dalam menyampaikan materi,penjelasnnya mudah saya pahami tapi lebih enak pas menjelaskan secara offline,3
Semoga kedepannya lebih baik lg Pak,1
jika akan mengadakan meeting online mohon agar memberitahukan sebelum jamnya.,0
Terimakasih pak untuk satu semesternya,2
saran bu agar sering masuk kelas,0
Jangan jadi dosen lah,0
sudah baik dalam menyampaikan materi,2
Ibu saya ingin ibu menjelaskan materi karena jika ibu menjelaskan kami dapat mudah memahami daripada teman-teman yang menjelaskan,0
saran ibu kalau menyampaikan materi lewat yt mohon suara musiknya lebih dikecilkan karna terkadang suara ibu ga terdengar jelas, terimakasih,0
Ibu maaf mungkin kedepannya agar lebih sering masuk kelas,0
"Kritik : Pertemuan meet nya jarang:'(
saran : semoga lebih baik lagi buu, terimakasih🙏,0"
Semoga lebih menyenangkan lagi mengajarnya,1
Alangkah lebih baik dosen melakukan pembahasan soal ulangan harian agar mahasiswa lebih memahami materi yang disampaikan.,1
saran ibu lebih enak memberikan materi lewat google meet daripada lewat yt, karena lebih enak buat diskusi,1
Semakin ditingkatkan lagi ibu,0
Semoga lebih baik lg bu,0
Saran saya ibu jika memberi materi tepat waktu,0
Semoga lebih menyenangkan lagi saat menggunakan gmeet,1
Semakin ditingkatkan lagi pak,0
sekali² dikasih tugas pak, biar bisa buat latihan. terimakasih,0
Vocabulary sangat meresahkan,0
Semoga lebih menyenangkan lagi,0
Semoga lebih baik lg buu,,0
Jika memberi tugas kami diberitahu, di ekuliah tidak ada notifikasi untuk tugas. kami sering terlewat tugasnya karena tidak mengetahui,0
Terimakasih kasih bu untuk satu semesternya,2
Semoga lebih menyenangkan lagi, diberi modul untuk bisa lebih memahami,0
Semakin ditingkatkan lagi bu,0
Dosen memberikan metode belajar yang baik sehingga mahasiswa dapat mudah mengerti dan tidak bosan belajar di kelas.,3
Ditingkatkan lagi,0
semoga lebih baik lagi pak..,0
sudah baik dalam menyampaikan materi, tapi karena jamnya sore jadi lumayan ngantuk bu hehe,2
Cukup baik,2
Semoga kedepannya lebih baik lagi dalam mengajar :),0
Terimakasih bu untuk satu semesternya,2
Lebih memperhatikan materi untuk mahasiswa agar lebih paham dalam belajar, dan lebih diperhatikan untuk jadwal mata kuliah yang sudah ditentukan dan lebih mudah lagi untuk dihubungi,0
Lebih memberikan contoh yang mudah dipahami sesuai dengan materi yang disampaikan agar mahasiswa lebih paham,2
Baik,2
Dosen memberikan metode belajar yang baik sehingga mahasiswa mudah mengerti.,3
Jika menjelaskan jangan terlalu cepat.,0
Dosenya jarang masuk jadi gak tau pelajarannya yampe mana , semoga lebih baik lagi ya jadi sering masuk :),0
Terimkasih pak untuk satu semesternyta,2
Tidak ada,1
Lebih memberikan penjelasan yang mudah dipahami mahasiswa sesuai dengan materi yang disampaikan,0
Saya suka dengan metode pengajarannya yang setiap pertemuan selalu diadakan kuis untuk meningkatkan pemahaman mahasiswanya. Tapi alangkah baiknya karena situasinya sedang pandemi untuk proses pengajarannya perbanyak melakukan gmeet agar antara dosen dan mahasiswa menjadi akrab, karena waktu itu kebanyakan dosen ngasih video pembelajaran saja kemudian untuk dipelajari mahasiswa jadi jarang interaksi dengan dosen secara langsung meskipun lewat online.,3
Pertahankan selama jadi dosen dengan baik,3
"Semangat ibu,.
Dari saya tidak ada saran maupun kritik,dikarenakan sudah cukup,3"
Cukup.,1
Lebih sabar lagi dalam menjelaskan materi secara online kepada mahasiswa.,1
Saya suka dengan metode pengajarannya dan jelas untuk dipahami mahasiswanya. Untuk kedepannya agar lebih diperhatikan soal waktu karena waktu memulai kuliahnya kelamaan biasanya 10 menit setelah mulai mata kuliah baru mulai jadi selesai mata kuliahnya melebihi batas waktunya.,2
Lebih memberikan penjelasan yang mudah dipahami mahasiswa sesuai dengan materi yang disampaikan dan sabar,1
Dosen memberikan metode belajar yang cukup baik sehingga mahasiswa dapat memahami.,3
Lebih sabar lagi dalam menjelaskan materi secara online, karena terkadang mahasiswa terkendala sinyal dll.,1
Dalam penyampaian materi perlu ditingkatkan lagi,0
Pertahankan situasi nyaman dalam proses belajar mengajar bu,3
Lebih pelan dan detail dalam menjelaskan materi,2
Baik bngt,3
Dosen memberikan metode belajar yang sangat baik dan variatif sehingga mahasiswa dapat mudah mengerti dan tidak bosan belajar di kelas.,3
Jangan terlalu cepat penjelasannya saat offline,1
Harus masuk jam kuliah walaupun itu secara online, karena kita mahasiswa butuh penjelasan materi dan bimbingan untuk memahami materi yang ada di modul. Terima kasih.,0
Sudah baik dalam memberikan pembelajarannya dan mudah dipahami oleh mahasiswa. Alangkah baiknya untuk kedepan dalam proses pembelajarannya diselingi dengan candaan agar lebih menyenangkan sehingga tidak terlalu tegang.,2
Suka sekali dngn metode ngajarnya,3
Baik sekalii. lebih baik lagi jika pembelajaran offline bersama bu anita,3
Tidak ada bu,3
Tidak pernah masuk waktu jam mengajar, pernah sekali mengajar dengan sistem tatap muka dan pertemuan selanjutnya juga tidak masuk,0
Siplah,3
Ibu cantik semoga semester 3 ketemu lagi,3
Lebih sabar jika menunggu mahasiswa akan presentasi lewat google meet, karena terkadang mahasiswa terkendala sinyal. Terima kasih.,0
Tingkatkan kinerja Ibu dan lebih semangat lagi dalam memberikan materi,2
Tidak ada saran,3
Kurangin untuk metode meringkas.,1
Tambah lebaih baik,2
perfect,3
